filename,signal_name,profit
cryptocurrency_database.miniticker_collection_03142019.db,PPO_OBV-Hourly_ROC_Signal-basic_signal_market_strategy,-1.51
cryptocurrency_database.miniticker_collection_03142019.db,TSI_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.74
cryptocurrency_database.miniticker_collection_03142019.db,EMA_OBV_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-0.41
cryptocurrency_database.miniticker_collection_03142019.db,MTS_Crossover2_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-1.92
cryptocurrency_database.miniticker_collection_03142019.db,MTS_SMA_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.46
cryptocurrency_database.miniticker_collection_03142019.db,MACD_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-0.59
cryptocurrency_database.miniticker_collection_03142019.db,TSV_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.31
cryptocurrency_database.miniticker_collection_03142019.db,PMO_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-0.22
cryptocurrency_database.miniticker_collection_03142019.db,AEMA_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,-1.28
cryptocurrency_database.miniticker_collection_03142019.db,MTS_CrossoverTracker_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.11
cryptocurrency_database.miniticker_collection_03142019.db,Hybrid_Crossover_Test2-Hourly_ROC_Signal-basic_signal_market_strategy,-0.86
cryptocurrency_database.miniticker_collection_03142019.db,MTS_Retracement_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.28
cryptocurrency_database.miniticker_collection_03142019.db,Hybrid_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,-1.06
cryptocurrency_database.miniticker_collection_03142019.db,MTS_Crossover3_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.31
cryptocurrency_database.miniticker_collection_01192019.db,PPO_OBV-Hourly_ROC_Signal-basic_signal_market_strategy,0.11
cryptocurrency_database.miniticker_collection_01192019.db,TSI_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.18
cryptocurrency_database.miniticker_collection_01192019.db,EMA_OBV_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,0.17
cryptocurrency_database.miniticker_collection_01192019.db,MTS_Crossover2_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.71
cryptocurrency_database.miniticker_collection_01192019.db,MTS_SMA_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.05
cryptocurrency_database.miniticker_collection_01192019.db,MACD_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,-0.33
cryptocurrency_database.miniticker_collection_01192019.db,TSV_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.6
cryptocurrency_database.miniticker_collection_01192019.db,PMO_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,0.16
cryptocurrency_database.miniticker_collection_01192019.db,AEMA_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,-0.43
cryptocurrency_database.miniticker_collection_01192019.db,MTS_CrossoverTracker_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.36
cryptocurrency_database.miniticker_collection_01192019.db,Hybrid_Crossover_Test2-Hourly_ROC_Signal-basic_signal_market_strategy,-0.3
cryptocurrency_database.miniticker_collection_01192019.db,MTS_Retracement_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,-0.18
cryptocurrency_database.miniticker_collection_01192019.db,Hybrid_Crossover_Test-Hourly_ROC_Signal-basic_signal_market_strategy,0.7
cryptocurrency_database.miniticker_collection_01192019.db,MTS_Crossover3_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.07
cryptocurrency_database.miniticker_collection_01202019.db,MTS_Crossover3_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.05
cryptocurrency_database.miniticker_collection_01202019.db,TSI_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,2.59
cryptocurrency_database.miniticker_collection_01202019.db,EMA_OBV_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,1.35
cryptocurrency_database.miniticker_collection_01202019.db,MTS_Crossover2_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.41
cryptocurrency_database.miniticker_collection_01202019.db,MTS_SMA_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,1.18
cryptocurrency_database.miniticker_collection_01202019.db,MACD_Crossover-Hourly_ROC_Signal-basic_signal_market_strategy,0.9
cryptocurrency_database.miniticker_collection_01202019.db,Hybrid_Crossover_Test2-Hourly_ROC_Signal-basic_signal_market_strategy,2.07
cryptocurrency_database.miniticker_collection_01202019.db,MTS_CrossoverTracker_Signal-Hourly_ROC_Signal-basic_signal_market_strategy,0.03
